pmid,pmcid,nihmsid,nctid,pub_title,authors,authors_lnames,authors_initials,authors_affil,pub_date,journal_short,journal_full,pubmed_tags,pmc_status
24893290,4043674,,NCT00332644,Smoking cessation and the risk of diabetes mellitus and impaired fasting glucose: three-year outcomes after a quit attempt.,"James H Stein, Asha Asthana, Stevens S Smith, Megan E Piper, Wei-Yin Loh, Michael C Fiore, Timothy B Baker","Stein, Asthana, Smith, Piper, Loh, Fiore, Baker","JH, A, SS, ME, WY, MC, TB","Department of Medicine, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, United States of America., Department of Medicine, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, United States of America., Department of Medicine, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, United States of America., Department of Medicine, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, United States of America., Department of Medicine, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, United States of America., Department of Medicine, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, United States of America., Department of Medicine, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, United States of America.",2014-01-01,PLoS ONE,PloS one,"UL1 TR000427, UL1 RR025011, UL1RR025011",1
19476900,4282162,176289,,Development and pilot evaluation of a preoperative briefing protocol for cardiovascular surgery.,"Sarah E Henrickson, Rishi K Wadhera, Andrew W Elbardissi, Douglas A Wiegmann, Thoralf M Sundt","Henrickson, Wadhera, Elbardissi, Wiegmann, Sundt","SE, RK, AW, DA, TM","Division of Cardiovascular Surgery, Mayo Clinic, Rochester, MN 55005, USA., , , , ",2009-06-01,J. Am. Coll. Surg.,Journal of the American College of Surgeons,"UL1 RR025011, UL1 RR025011-01",1
31724776,,,,T<sub>1</sub> -corrected quantitative chemical shift-encoded MRI.,"Xiaoke Wang, Timothy J Colgan, Louis A Hinshaw, Nathan T Roberts, Leah C Henze Bancroft, Gavin Hamilton, Diego Hernando, Scott B Reeder","Wang, Colgan, Hinshaw, Roberts, Bancroft, Hamilton, Hernando, Reeder","X, TJ, LA, NT, LCH, G, D, SB","Department of Radiology, University of Wisconsin, Madison, Wisconsin., Department of Radiology, University of Wisconsin, Madison, Wisconsin., Department of Radiology, University of Wisconsin, Madison, Wisconsin., Department of Radiology, University of Wisconsin, Madison, Wisconsin., Department of Radiology, University of Wisconsin, Madison, Wisconsin., Liver Imaging Group, Department of Radiology, University of California San Diego, La Jolla, California., Department of Radiology, University of Wisconsin, Madison, Wisconsin., Department of Radiology, University of Wisconsin, Madison, Wisconsin.",2019-11-14,Magn Reson Med,Magnetic resonance in medicine,UL1TR000427,
20586747,2909341,204250,,A comparison of SNAP II and bispectral index monitoring in patients undergoing sedation.,"S R Springman, A-C Andrei, K Willmann, D A Rusy, M E Warren, S Han, M Lee","Springman, Andrei, Willmann, Rusy, Warren, Han, Lee","SR, AC, K, DA, ME, S, M","Department of Anesthesiology, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, USA., , , , , , ",2010-08-01,Anaesthesia,Anaesthesia,UL1 RR025011,1
19025223,2597514,66108,,Refining the tobacco dependence phenotype using the Wisconsin Inventory of Smoking Dependence Motives.,"Megan E Piper, Daniel M Bolt, Su-Young Kim, Sandra J Japuntich, Stevens S Smith, Jeff Niederdeppe, Dale S Cannon, Timothy B Baker","Piper, Bolt, Kim, Japuntich, Smith, Niederdeppe, Cannon, Baker","ME, DM, SY, SJ, SS, J, DS, TB","University of Wisconsin School of Medicine and Public Health, Center for Tobacco Research and Intervention., , , , , , , ",2008-11-01,J Abnorm Psychol,Journal of abnormal psychology,"KL2 RR025012, 1KL2RR025012-01",1
25352737,4168835,,,Electronic medical records and genomics (eMERGE) network exploration in cataract: several new potential susceptibility loci.,"Marylyn D Ritchie, Shefali S Verma, Molly A Hall, Robert J Goodloe, Richard L Berg, Dave S Carrell, Christopher S Carlson, Lin Chen, David R Crosslin, Joshua C Denny, Gail Jarvik, Rongling Li, James G Linneman, Jyoti Pathak, Peggy Peissig, Luke V Rasmussen, Andrea H Ramirez, Xiaoming Wang, Russell A Wilke, Wendy A Wolf, Eric S Torstenson, Stephen D Turner, Catherine A McCarty","Ritchie, Verma, Hall, Goodloe, Berg, Carrell, Carlson, Chen, Crosslin, Denny, Jarvik, Li, Linneman, Pathak, Peissig, Rasmussen, Ramirez, Wang, Wilke, Wolf, Torstenson, Turner, McCarty","MD, SS, MA, RJ, RL, DS, CS, L, DR, JC, G, R, JG, J, P, LV, AH, X, RA, WA, ES, SD, CA","Department of Biochemistry and Molecular Biology, The Pennsylvania State University, University Park, PA., Department of Biochemistry and Molecular Biology, The Pennsylvania State University, University Park, PA., Department of Biochemistry and Molecular Biology, The Pennsylvania State University, University Park, PA., Center for Human Genetics Research, Vanderbilt University, Nashville, TN., Biomedical Informatics Research Center, Biostatistics, Marshfield Clinic Research Foundation, Marshfield, WI., Group Health Research Institute, Seattle, WA., Fred Hutchinson Cancer Research Center, Seattle, WA., Ophthalmology, Marshfield Clinic Research Foundation, Marshfield, WI., Division of Medical Genetics, University of Washington, Seattle, WA ; Department of Biostatistics, University of Washington, Seattle, WA., Departments of Biomedical Informatics, Vanderbilt University, Nashville, TN ; Department of Medicine, Vanderbilt University, Nashville, TN., Division of Medical Genetics, University of Washington, Seattle, WA ; Departments of Medicine and Genome Sciences, University of Washington, Seattle, WA., Office of Population Genomics, National Human Genome Research Institute, Bethesda, MD., Biomedical Informatics Research Center, Marshfield Clinic Research Foundation, Marshfield, WI., Department of Biomedical Informatics, Mayo Clinic College of Medicine, Rochester, MN., Biomedical Informatics Research Center, Marshfield Clinic Research Foundation, Marshfield, WI., Division of Health and Biomedical Informatics, Department of Preventive Medicine, Northwestern University, Chicago, IL., Department of Medicine, Vanderbilt University, Nashville, TN., Departments of Biomedical Informatics, Vanderbilt University, Nashville, TN., Departments of Biomedical Informatics, Vanderbilt University, Nashville, TN ; IMAGENETICS at Sanford Medical Center, Fargo, ND and Department of Internal Medicine, University of North Dakota, Fargo, ND., Division of Genetics and Genomics, Boston Children's Hospital and Department of Pediatrics, Harvard Medical School, Boston, MA., Center for Human Genetics Research, Vanderbilt University, Nashville, TN., Public Health Sciences, University of Virginia, Charlottesville, VA., Essentia Institute of Rural Health, Duluth, MN.",2014-01-01,Mol. Vis.,Molecular vision,UL1 TR000427,1
25025347,4226059,,,Inhaled interferon: a novel treatment for virus-induced asthma?,Daniel J Jackson,Jackson,DJ,"1 Department of Pediatrics, Division of Allergy and Immunology University of Wisconsin School of Medicine and Public Health Madison, Wisconsin.",2014-07-15,Am. J. Respir. Crit. Care Med.,American journal of respiratory and critical care medicine,"KL2 TR000428, UL1 TR000427",1
19910395,2836835,178622,,Can you hear me now? The experience of a deaf family member surrounding the death of loved ones.,"Karen A Kehl, Constance M Gartner","Kehl, Gartner","KA, CM","School of Nursing, University of Wisconsin-Madison, Madison, WI 53792-2455, USA. kkehl@wisc.edu, ",2010-01-01,Palliat Med,Palliative medicine,"KL2 RR025012, KL2 RR025012-01, UL1 RR025011, 1UL1RR025011",1
24138774,3870895,527749,,Creating and supporting a mixed methods health services research team.,"Barbara Bowers, Lauren W Cohen, Amy E Elliot, David C Grabowski, Nancy W Fishman, Siobhan S Sharkey, Sheryl Zimmerman, Susan D Horn, Peter Kemper","Bowers, Cohen, Elliot, Grabowski, Fishman, Sharkey, Zimmerman, Horn, Kemper","B, LW, AE, DC, NW, SS, S, SD, P","School of Nursing, University of Wisconsin at Madison, Madison, WI., , , , , , , , ",2013-12-01,Health Serv Res,Health services research,"UL1 RR025011, UL1 TR000427, 1UL1RR025011, 9U54TR000021",1
21347742,3295234,358325,,Fasting and postprandial spot urine calcium-to-creatinine ratios do not detect hypercalciuria.,"A N Jones, M M Shafer, N S Keuler, E M Crone, K E Hansen","Jones, Shafer, Keuler, Crone, Hansen","AN, MM, NS, EM, KE","Department of Medicine, University of Wisconsin School of Medicine and Public Health, 600 Highland Avenue, Madison, WI 53792, USA., , , , ",2012-02-01,Osteoporos Int,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,UL1 RR025011,1
